name,gender,english_name
آرتاباز,m,Artabaz
آرتابان,m,Artaban
آرتادخت,f,Artadakht
آرتان,m,Artan
آرتاپارت,m,Artapart
آرتمن,m,Artman
آرتمیس,f,Artemis
آرتنوس,f,Artenous
آرته دخت,f,Arte Dokht
آرتوان,m,Artavan
آرتونیس,f,Artonis
آرتیستون,f,Artiston
آرتیمان,m,Artiman
آرتیمس,F,Artimes
آرتیمیس,F,Artemis
آرتین,M,Artin
آرتینا,f,Artina
آرخ,M,Arakh
آرخا,m,Arkha
آردا,m,Arda
آردین,m,Ardin
آرزش,M,Arezesh
آرزم,M,Arezam
آرزو,f,Arezu
آرزو,F,Arezoo
آرزوو,F,Arezoo
آرزوگل,F,Arezogol
آرزی گول,F,Arezoo Gool
آرزیتا,F,Arzita
آرسام,m,Arsam
آرسان,m,Arsān
آرسن,m,Arsen
آرسین,m,Arsin
آرسینه,f,Arsineh
آرش,M,Arash
آرشا,m,Arsha
آرشام,M,Arsham
آرشامه,m,Arshameh
آرشان,m,Arshan
آرشاویر,m,Arshavier
آرشاک,M,Arshak
آرشیدا,f,Arshida
آرشین,M,Arshin
آرشینه,M,Arshineh
آرف,M,Aref
آرق,M,Arag
آرلد,M,Arald
آرلین,F,Arlin
آرمان,M,Arman
آرمانا,f,Armana
آرمتی,f,Armati
آرمن,M,Armen
آرمناک,m,Armanak
آرمه,f,Armeh
آرمودیان,M,Armodiyan
آرمیا,m,Armiya
آرمیتا,f,Armita
آرمیتان,f,Armitan
آرمیتی,M,Armiti
آرمیدخت,f,Armidokht
آرمیس,f,Armis
آرمیلا,f,Armila
آرمین,m,Armin
آرمینا,F,Armina
آرمیندخت,f,Armindokht
آرمینه,F,Armineh
آرمینی,m,Armini
آرمیین,M,Armin
آرن,M,Aran
آرنا,M,Arna
آرنوش,f,Arnoosh
آرنوشا,f,Arnoosha
آرنیکا,f,Arnika
آروا,f,Arva
آروز,M,Arooz
آروشا,f,Aroosha
آروق,M,Aruq
آروکو,m,Arvaku
آرویج,m,Arvij
آرویشه,f,Aroisheh
آروین,M,Arovin
آرپان,m,Arpan
آرژان,f,Arjan
آرکا,m,Arka
آرگون,f,Argun
آری,m,Ari
آریا,M,Aria
آریا,M,Arya
آریاباد,m,Ariyabad
آریابان,m,Ariyaban
آریابد,M,Aryabad
آریابرز,m,Ariyabraz
آریاداد,M,Aryadad
آریادخت,f,Ariyadokht
آریاراد,m,Ariyarad
آریارامنه,m,Ariyarameh
آریارمن,m,Ariyaraman
آریاز,m,Aryaz
آریاسب,m,Ariyasb
آریافر,m,Ariyafar
آریام,M,Aryam
آریامن,m,Ariyaman
آریامنش,m,Ariamanesh
آریامهر,m,Ariamehr
آریان,f,Arian
آریانا,M,Ariana
آریاناز,f,Arianaz
آریانوش,f,Arianoush
آریاک,m,Ariyak
آریاگیو,m,Ariyagiu
آریتا,M,Arita
آریتما,m,Aritma
آریز,M,Ariz
آریس,m,Aris
آریسا,f,Arisa
آریسان,f,Arisan
آریستا,f,Arista
آریسته,m,Aristeh
آریشیدا,f,Arishida
آرین,M,Arian
آرینا,f,Arina
آریندخت,f,Arindokht
آریه,m,Arye
آریو,M,Aryo
آریوبرزن,m,Ariobarzān
آریوبرزن,m,Ariyobarzan
آریوبرزین,m,Ariyoberzin
آریوداد,m,Ariyudad
آریوراد,m,Ariyarad
آریژه,f,Arijeh
آر‌ام,F,Armin
آزا,m,Aza
آزاد,m,Azad
آزاد,F,Azad
آزاد منش,m,Azad Manesh
آزادبه,m,Azadbeh
آزاددخت,f,Azaddokht
آزادسرو,m,Azadsarv
آزادفروز,m,Azadforuz
آزادمهر,m,Azadmehr
آزاده,F,Azadeh
آزاده خوی,f,Azadeh Khoyi
آزادچهر,f,Azadchehr
آزاله,f,Azaleh
آزالیا,M,Azalia
آزران,m,Azaran
آزرم,F,Azarm
آزرم خاتون,f,Azarm Khatoon
آزرمدخت,f,Azarmadokht
آزرمگان,m,Azarmagan
آزرمیدخت,f,Azarmidokht
آزرو,F,Azar
آزریتا,F,Azarita
آزش,M,Azash
آزو,F,Azu
آزیا,F,Azia
آزیتا,M,Azita
آزین,M,Azin
آزینا,F,Azina
آزینه,F,Azineh
آسا,f,Asa
آساد,m,Asad
آسادخت,f,Asadokht
آساره,f,Asāreh
آسام,m,Asam
آسانا,f,Asana
آسایش,m,Asayesh
آستارام,F,Astaran
آستاره,F,Astaareh
آستقیک,M,Astagheeg
آستیاژ,m,Astyaj
آستیاک,m,Astyak
آستیاگ,m,Astyag
آسدین,m,Asadin
آسف,M,Asef
آسمان,f,Aseman
آسمان نور,M,Aseman Noor
آسمانهور,f,Asemanehvor
آسمر,F,Asmar
آسمه,F,Aseman
آسن,F,Asen
آسنا,f,Asna
آسنات,f,Asnat
آسه,M,Ase
آسو,M,Aso
آسودا,f,Asuda
آسوده,M,Asudeh
آسپاداس,m,Aspadas
آسپیان,m,Aspiyan
آسکه,F,Aaskeh
آسکی,f,Aski
آسیا,f,Asiya
آسیدات,m,Asidat
آسیداد,m,Asidād
آسیمن,f,Asimin
آسیه,F,Asiyeh
آسیه بیگم,F,Asiyeh Begom
آش جان,F,Ashjan
آشا,f,Asha
آشتی,F,Ashti
آشر,m,Asher
آشر محمد,M,Asher Mohammad
آشرمحمد,M,AsharMohammad
آشنا,F,Ashna
آشوب,f,Ashoob
آشور,M,Ashur
آشور بی‌بی,F,Ashur Bibi
آشور محمد,M,Ashur Mohammad
آشورینا,f,Ashurina
آشیان,f,Ashiyan
آشینا,m,Ashina
آصف,M,Asef
آصف علی,M,Asif Ali
آصفه,F,Asefeh
آطوسا,f,Atousa
آغ سلطان,F,Agh Sultan
آغا بانو,F,Agha Banoo
آغا بیگم,M,Agha Begom
آغا محمد,M,Agha Mohammad
آغا نساء,F,Agha Nesa
آغابانو,f,Aghabanoo
آغاخانم,M,Aghakhanom
آغازاده,M,Aghazadeh
آغاسی,M,Aghasi
آغامادر,M,Aghamadar
آغانازار,M,Agha Nazar
آغاپری,M,Aghapari
آغه برا,F,Aaghe Bara
آغگل,F,Aghghol
آفت,f,Aft
آفتاب,F,Aftab
آفتابدخت,f,Aftabdokht
آفرتاج,F,Afrataj
آفریده,f,Afarideh
آفریدون,m,Afaridun
آفرین,F,Afarin
آفرین ماه,f,Afarin Mah
آفرین مهر,f,Afarin Mehr
آفرین ناز,f,Afarin Naz
آفرین نوش,f,Afarin Noosh
آفرین گل,f,Afarin Gol
آفریندخت,f,Afarindokht
آفسانه,f,Afsaneh
آفشید,f,Afshid
آفق المولک,F,Ofoq ol-Molook
آفناب,F,Afnab
آفیه,F,Afiyeh
آق اقلی,M,Aghaghli
آق اولی,M,Agh Oli
آق اویلی,M,Agh Oyli
آق ایلی,M,Agh Ili
آق بابک,M,Agh Babak
آق بانو,f,Agh Banu
آق به بک,M,Aghabak
آق بی‌بی,M,Agha Bibi
آق جمال,M,Agh Jamal
آق سلطان,M,Agha Sultan
آق قلی,M,Agh Gholi
آق محمد,M,Agha Mohammad
آق ویلی,M,Agh Vili
آق گل,M,Agh Gol
آقچه گل,F,Aghcheh Gol
آلا,f,Ala
آلاء,M,Ala'
آلاله,f,Alaleh
آلان,M,Alaan
آلان,M,Alan
آلان قوا,f,Alan Ghava
آلان گوا,f,Alan Gava
آلاوه,f,Alaveh
آلاگل,f,Alagol
آلب,m,Alba
آلب ارسلان,m,Alp Arslan
آلب تکین,m,Albe Takin
آلبا,f,Alba
آلتنای,f,Altenay
آلتون,f,Alton
آلتونتاش,m,Altondash
آلتین,f,Altin
آلتین آی,M,Altin Ay
آلتین ساین,M,Altin Sayen
آلتین گلین,f,Altin Golin
آلدین,M,Aldin
آلما,f,Alma
آلمارا,F,Almara
آلماز,f,Almaz
آلماگل,f,Almagal
آلن,M,Alan
آلند,f,Aland
آلنوش,f,Alnoosh
آلوم,M,Alum
آلوگونه,f,Aluguneh
آلپ ارسلان,m,Alp Arslan
آلپ تکین,m,Alp Takin
آلپای,M,Alpay
آلکا,f,Alka
آلکسی,M,Aleksi
آلکو,M,Alko
آلیا,m,Alya
آلیس,f,Alis
آلیسا,f,Alisa
آلیش,f,Alish
آلیشان,f,Alishan
آلیک,M,Alik
آماتیا,M,Amatia
آماتیس,f,Amatis
آماستریس,f,Amasteris
آمال,F,Amal
آمان باغی,M,Aman Baghi
آمان گلدی,F,Aman Goldei
آمانج,M,Amanj
آماندا,F,Amanda
آماندانا,f,Amandana
آمانوییل,M,Amanoueil
آمتیس,f,Amatis
آمستریس,f,Amasteris
آمنه,F,Aameneh
آمنه خاتون,F,Amaneh Khatun
آمنه زمان,F,Aameneh Zaman
آمنید,m,Amanid
آموتیا,f,Amutiya
آمونج,M,Aamunj
آموی,m,Amavi
آمیتا,F,Amita
آمیتریس,f,Amitriss
آمیتیدا,f,Amitida
آمیتیس,F,Amitis
آمینه,F,Amineh
آن,f,آن
آنا,f,Ana
آنا بیکم,F,Ana Bikam
آنا خانم,F,Ana Khanom
آنا عراز,F,Ana Araz
آنا قلی,F,Ana Gholi
آنا محمد,F,Ana Mohammad
آنا هیتا,F,Ana Hita
آنا هید,F,Ana Hid
آنا هییتا,F,Ana Heyata
آنا گلدی,F,Ana Goldi
آنابی بی,F,Anabi Bi
آناتولی,F,Anatoli
آناخانم,F,Anakhanom
آناددی,F,Anadadi
آناش,F,Anash
آناشید,f,Anashid
آنالی,f,Anali
آنامولام,F,Anamolam
آناهیتا,f,Anahita
آناهید,F,Anahid
آناهید,F,Anaahid
آناپلاد,F,Anaplad
آناک,F,Anak
آناگ,m,Anag
آناگلدی,F,Anagoldi
آنت,M,Aant
آنتا,F,Anta
آنتونیو,M,Antonio
آنتیس,F,Antis
آنتیگون,m,Antigon
آندروش,M,Androosh
آندریا,f,Andria
آندیا,f,Andiya
آنس,F,Aans
آنسه,f,Anseh
آنه,F,Ane
آنه بخت,F,Aneh Bakht
آنه بردی,F,Aneh Berdi
آنه سلطان,F,Ane Soltan
آنه طواق,F,Aane Tavaq
آنه قلیچ,F,Ane Ghalich
آنه قوات,F,Ane Ghavat
آنه گلدی,F,Aane Goldi
آنوش,f,Anush
آنوشا,F,Anoosha
آنوشه,m,Anousheh
آنیا,F,Anya
آنیتا,F,Anita
آنیس,f,Anis
آنیسا,f,Anisa
آنیل,m,Anil
آنیلا,F,Anila
آنیو,F,Aniyo
آهار,f,Ahar
آهنعلی,M,Ahanali
آهنگ,f,ahang
آهو,F,Ahu
آهی جان,F,Ahi Jan
آهید,f,Ahid
آهیر,m,Ahir
آهیل,m,Aahil
آهین,m,Ahīn
آهیه,F,Ahiyeh
آو یشن,F,Avishan
آوا,F,Ava
آوات,F,Avat
آواد,F,Avad
آوادان,f,Avadan
آوادخت,f,Avadakht
آوادیس,f,Avadis
آوار,F,Avar
آوازه,f,Āvāzeh
آوام,f,Avam
آوانوش,f,Avanush
آوختی,F,Avakhti
آوشن,f,Avashan
آون,f,Avan
آونگ,f,Avang
آوه,m,Aveh
آوگان,m,Avagan
آوید,f,Avid
آویده,f,Avideh
آویر,m,Avir
آویز,f,Aviiz
آویزند,f,Avizand
آویزه,f,Avizeh
آویسا,F,Avisa
آویشن,F,Avishan
آویشه,f,Avisheh
آوین,M,Avin
آوینا,f,Avina
آوینه,f,Avineh
آویژه,f,Avijeh
آپادا,m,Apada
آپاداش,m,Apadash
آپادیپا,f,Apadipa
آپاسای,m,Apasay
آپام,f,Apam
آپاما,f,Apama
آپامنه,f,Apamaneh
آپامه,f,Apameh
آپنیتا,m,Apnita
آپگیا,f,Apgeya
آپگیتی,f,Apgiti
آپیشن,f,Apishan
آچیق,f,Achigh
آچیم,m,Achim
آژمان,m,Azhman
آژن,M,Azhan
آژند,M,Azhand
آژنگ,m,Azhang
آژینه,F,Azhine
آکام,F,Akam
آکو,m,Aku
آکو,M,Ako
آکو حمه,M,Ako Hame
آکوان,M,Akoan
آگا,m,Agha
آگاهدخت,f,Agahdokht
آگری,M,Agri
آگرین,f,Agarin
آی,f,Ay
آی اوز,f,Aye Oz
آی بک,m,Ay Bak
آی بی‌بی,f,Ay Bi Bi
آی تای,F,Ay Tai
آی ترکی ماه,f,Ay Torki Mah
آی تک,M,Aytak
آی جمال,F,Ay Jamal
آی جهان,F,Ay Jahan
آی خانم,f,Ay Khanom
آی سلطان,F,Ay Sultan
آی سودا,f,Ay Sooda
آی سورا,F,Ay Sura
آی سوره,F,Aye Sureh
آی سونا,F,Aysuna
آی صنم,F,Ayi Sanam
آی قیز,F,Ayi Qiz
آی لر,F,Ayler
آی لی,F,Ayli
آی محمد,F,Ay Mohammad
آی ناز,F,Aye Naz
آی نشان,f,Ay neshan
آی نور,F,Ay Noor
آی پارا,f,Ay Para
آی پری,f,Ay Pari
آی گزل,F,Ay Gazel
آی گل,F,Ay Gol
آیا تای,f,Aya Tay
آیان,M,Ayan
آیت,m,Ayat
آیت خانم,F,Ayat Khanom
آیت علی,M,Ayat Ali
آیتا,f,Ayta
آیتاش,m,Aytaash
آیتاله,M,Ayatollah
آیتای,f,Aytaay
آیتعلی,M,Ayat'ali
آیتغمش,m,Ayatghamash
آیتن,f,Ayten
آیتونا,m,Aytona
آیتک,f,Aytak
آیتکین,F,Ayatkin
آیت‌الله,m,Ayatollah
آیجان,f,Aijan
آیجمال,F,Ayjamal
آیخان,m,Ayxan
آیدا,f,Aida
آیدان,f,Aidan
آیدغدی,M,Aydighdi
آیدن,M,Aiden
آیدنگ,f,Aydang
آیدک,f,Aydak
آیدین,m,Aydin
آیر نیان,F,Ayr Niyan
آیریس,M,Ayris
آیرین,f,Ayrin
آیریک,m,Ayrik
آیسا,f,Aysa
آیسان,F,Aysan
آیسای,F,Aysa
آیسل,f,Aysel
آیسن,F,Aysan
آیسونا,F,Aysoona
آیقان,m,Aighan
آیلا,M,Ayla
آیلار,f,Ailar
آیلر,F,Aylar
آیلما,f,Aylma
آیلی,f,Aili
آیلین,F,Aylin
آیما,f,Aima
آین,F,Ayin
آینا,F,Ayena
آیناز,F,Aynaz
آینه,F,Ayeneh
آینه بی‌بی,F,Ayneh Bibi
آینور,F,Ayenoor
آیه,F,Aye
آیهان,m,Ayhan
آیوالله,M,Ayatollah
آیکان,m,Aikan
آیکون,M,Aykon
آیگل,f,Aygol
آیگوزل,f,Ayguzel
آیگون,F,Aygun
آیگین,F,Aygin
آیین,M,Ayin
آیین گشسب,m,Ayin Goshasb
آیینه,M,Ayineh
آیینگشسب,m,Ayingashasp
آییژ,f,Aiyij
ؤهرا,M,Vahra
اسماعیل,M,Esmail
الشان,M,Alishan
ائلمان,m,Aelman
ائیریا,m,Ayria
ابا,M,Aba
ابا بکر,M,Aba Bakr
ابا ذر,M,Aba Zar
ابا سلت,M,Aba Salt
ابا صلت,M,Aba Salt
ابابکر,M,Ababakr
ابات,M,Abat
ابادر,M,Abadar
اباذر,M,Abazar
اباذر علی,M,Abazar Ali
اباز,M,Abaz
ابازر,M,Abazar
اباس,M,Abas
اباسط,M,Abasat
اباسعد,M,Abas'ad
اباسل,M,Abasal
اباسلت,M,Abasalt
اباسلط,M,Abasolt
اباسلک,M,Abasalak
اباصت,M,Abasat
اباصد,M,Abasد
اباصل,M,Abasal
اباصلت,M,Abasalt
اباصلط,M,Abasalt
ابالفتح,M,Abalfath
ابالفضل,M,Abalfazl
اباهیم,M,Ebrahim
ابتاج,F,Ebtaj
ابتسام,F,Ebtessam
ابتسلم,F,Ebtaslam
ابتصام,F,Ebtessam
ابتهاج,M,Ebtihaj
ابتهاش,m,Abtahash
ابتین,M,Abtin
ابجد,M,Abjad
ابحش,M,Abhosh
ابخش,M,Abkhosh
ابدال,M,Ebdal
ابدالحسن,M,Abdolhasan
ابدالرضا,M,Abdolreza
ابدالفضل,M,Abdalfazl
ابدالمجید,M,Abdolmajid
ابدالوصیل,M,Ebdalvasil
ابدقدی,M,Abdeghadi
ابده,m,Abdah
ابذر,M,Abzar
ابر,M,Abar
ابراهیم,M,Ebrahim
ابر ناز,F,Abrnaz
ابراهیم,M,Ebrahim
ابرار,M,Abrar
ابرارها,m,Abrarha
ابراسیم,M,Abrasim
ابرامیم,M,Ebramim
ابران,M,Abran
ابراهیم اذر,M,Ebrahim Azar
ابراهیم اژدر,M,Ebrahim Azhdar
ابراهیم بگ,M,Ebrahim Beg
ابراهیم علی,M,Ebrahim Ali
ابراهیم محمد,M,Ebrahim Mohammad
ابراهیم هاتف,M,Ebrahim Hatef
ابراهیمعلی,M,Ebrahimali
ابراهیمک,M,Ebrahimak
ابرنیق,M,Abraniq
ابره,M,Abre
ابرههیم,M,Ebrahimi
ابرهیم اژدر,M,Ebrahim Azhdar
ابرو,F,Abro
ابریجان,F,Abrizhan
ابریزه,F,Abrizeh
ابریس,M,Abriz
ابریشم,F,Abrisham
ابس,M,Aps
ابصلت,M,Absalt
ابفضل,M,Abolfazl
ابقا,F,Ebqā
ابلراهیم,M,Ebrahim
ابلفرز,M,Ablfarz
ابلفضل,M,Abolfazl
ابلقا سم,M,Ablagha Sam
ابلقاسم,M,Ablqasem
ابلیس,M,Eblis
ابمانعلی,M,Abmanali
ابمن,M,Abman
ابن اله,M,Ebnolah
ابن علی,M,Ebn Ali
ابن یامین,M,Ebn Yamin
ابناس,f,Abnas
ابوالحسن,M,Abolhassan
ابوالفتح,M,Abol Fath
ابوالفضل,M,Abol Fazl
ابوالقاسم,M,Abolghasem
ابوالقیس,M,Abolghays
ابوالمحمد,M,Abolmohammad
ابوبکر,M,Abu Bakr
ابوتراب,M,Abu Torab
ابوحنیفه,M,Abu Hanifa
ابوخالد,M,Abu Khaled
ابوذر,M,Abu Zarr
ابوسعید,M,Abu Sa'id
ابوطا لب,M,Abu Talib
ابوطالب,M,Abu Talib
ابوطللب,M,Abu Talib
ابوطیب,M,Abu Tayeb
ابوعمار,M,Abu Ammar
ابولفضل,M,Abol Fazl
ابوا الفضل,M,Abol Fazl
ابوا لحسن,M,Abolhassan
ابوا لفضل,M,Abol Fazl
ابواتفضل,M,Abuatfazl
ابواتلفضل,M,Abolfazl
ابواصلت,M,Abuosalat
ابوافضل,M,Abolfazl
ابوالب,M,Abolb
ابوالبشر,M,Abolbashr
ابوالثتح,M,Abolseth
ابوالحجن,M,Abolhajn
ابوالحد,M,Abolhadi
ابوالحسن,M,Abolhassan
ابوالحسین,M,Abolhosein
ابوالرحیم,M,Abolrahim
ابوالشمس,M,Abolshams
ابوالصمد,M,Abol Samad
ابوالضل,M,Abolzol
ابوالطالب,M,Abol Taleb
ابوالفاسم,M,Abolghasem
ابوالفتح,M,Abolfath
ابوالفتح خان,M,Abolfath Khan
ابوالفح,M,Abolfazh
ابوالفصل,M,Abolfazl
ابوالفض,M,Abolfazl
ابوالفضل,M,Abolfazl
ابوالفضل,M,Abolghasem
ابوالفضل العباس,M,Abolfazl al-Abbas
ابوالفظل,M,Abolfazl
ابوالففضل,M,Abolfazl
ابوالقا سم,M,Abolghasem
ابوالقاسم,M,Abolghasem
ابوالقالسم,M,Abolghasem
ابواللفضل,M,AbolFazl
ابوالهاشم,M,Abolhashem
ابوب,M,Abub
ابوبفضل,M,Abolfazl
ابوبک,M,Aboubak
ابوبکر,M,Abubakr
ابوبکرصدیق,M,Abubakr Sedigh
ابوتافضل,M,Abotafazl
ابوتراب,M,Aboturab
ابوجهاد,M,Abujahad
ابوحمزه,M,Abouhamzeh
ابوذر,M,Abouzar
ابوریحان,m,Abu Rayhan
ابوسعید,M,Abusa'id
ابوصالح,M,Abu-Saleh
ابوطاب,M,Abutab
ابوطالب,M,Abutaleb
ابوعلی,M,Abu Ali
ابوفاضل,M,Aboufazl
ابوفضل,M,Abolfazl
ابول,M,Abol
ابولحسن,M,Abolhasan
ابولفتح,M,Abolfath
ابولفرضل,M,Abolfazl
ابولفضل,M,Abolfazl
ابولقا سم,M,Abolghasem
ابولقاسم,M,Abolghasem
ابولقاسمی,M,Abolghasemi
ابولقالقاسم,M,Abolghasem
ابوللفضل,M,Abolfazl
ابومسلم,m,Abu Muslim
ابوکر,M,Abukar
ابویکر,M,Abuyekr
ابک,M,Abak
ابکار,M,Abkar
ابی,M,Abi
ابی‌الحسن,M,Abolhassan
ابی‌الفضل,M,Abalfazl
